dataset,model,policy,expected_cost_mean,expected_cost_std,approval_rate_mean,approved_default_rate_mean
german_credit,lr,profit_lgd_0.4_roi_0.15,0.6,0.09733961166965896,0.51,0.13512588555170735
german_credit,lr,profit_lgd_0.6_roi_0.1,0.605,0.07466592261534036,0.465,0.13326591154261055
german_credit,lr,profit_lgd_0.4_roi_0.1,0.6083333333333334,0.09291573243177575,0.4916666666666667,0.13597716385063705
german_credit,lr,profit_lgd_0.6_roi_0.15,0.6083333333333334,0.09291573243177575,0.4916666666666667,0.13597716385063705
german_credit,lr,cost_5_to_1,0.6116666666666667,0.08736894948054102,0.48833333333333334,0.13667139134898823
german_credit,lr,profit_lgd_0.8_roi_0.15,0.6116666666666667,0.08736894948054102,0.48833333333333334,0.13667139134898823
german_credit,lr,f1_validation,0.6333333333333333,0.07251436639269022,0.5766666666666667,0.1475768509721458
german_credit,lr,cost_2_to_1,0.64,0.08544003745317527,0.58,0.14942100909842843
german_credit,lr,profit_lgd_0.4_roi_0.05,0.65,0.08660254037844381,0.15,0.1111111111111111
german_credit,lr,profit_lgd_0.8_roi_0.1,0.65,0.08660254037844381,0.15,0.1111111111111111
german_credit,lr,cost_10_to_1,0.6516666666666667,0.08371578903249573,0.14833333333333334,0.1123595505617977
german_credit,lr,robust_cost,0.6516666666666667,0.08371578903249573,0.14833333333333334,0.1123595505617977
german_credit,lr,profit_lgd_0.6_roi_0.05,0.6999999999999998,0.0,0.0,
german_credit,lr,profit_lgd_0.8_roi_0.05,0.6999999999999998,0.0,0.0,
german_credit,lr,robust_profit,0.6999999999999998,0.0,0.0,
german_credit,lr,fixed_0.5,0.7283333333333334,0.023094010767585042,0.6716666666666665,0.17360019612747782
german_credit,rf,profit_lgd_0.6_roi_0.1,0.5666666666666667,0.06331139971074193,0.29333333333333333,0.09243214675395524
german_credit,rf,profit_lgd_0.8_roi_0.15,0.5683333333333334,0.07023769168568496,0.3216666666666667,0.09930383058773651
german_credit,rf,cost_5_to_1,0.5716666666666667,0.07094598884597587,0.3283333333333333,0.10148978961371384
german_credit,rf,profit_lgd_0.4_roi_0.05,0.5750000000000001,0.0736545993132812,0.27499999999999997,0.09400819088319086
german_credit,rf,profit_lgd_0.8_roi_0.1,0.5750000000000001,0.0736545993132812,0.27499999999999997,0.09400819088319086
german_credit,rf,profit_lgd_0.4_roi_0.15,0.6,0.03278719262151003,0.36999999999999994,0.12145143114717145
german_credit,rf,profit_lgd_0.4_roi_0.1,0.6016666666666667,0.03511884584284248,0.36833333333333335,0.12226775767778371
german_credit,rf,profit_lgd_0.6_roi_0.15,0.6016666666666667,0.03511884584284248,0.36833333333333335,0.12226775767778371
german_credit,rf,f1_validation,0.63,0.07365459931328118,0.42,0.13027234429425502
german_credit,rf,profit_lgd_0.6_roi_0.05,0.64,0.04821825380496482,0.12,0.06170212765957447
german_credit,rf,profit_lgd_0.8_roi_0.05,0.6416666666666667,0.050083264004389075,0.11833333333333333,0.06170212765957447
german_credit,rf,cost_10_to_1,0.645,0.0492442890089806,0.165,0.1142361111111111
german_credit,rf,robust_cost,0.645,0.0492442890089806,0.165,0.1142361111111111
german_credit,rf,robust_profit,0.65,0.05567764362830018,0.14,0.1046875
german_credit,rf,cost_2_to_1,0.6883333333333334,0.1140540807395042,0.5516666666666666,0.1583034148785171
german_credit,rf,fixed_0.5,1.1900000000000002,0.24834451876375288,0.87,0.2569062597079838
german_credit,xgb,profit_lgd_0.4_roi_0.15,0.5683333333333332,0.0028867513459481715,0.38166666666666665,0.10862897096823221
german_credit,xgb,cost_5_to_1,0.5833333333333334,0.017559422921421215,0.3566666666666667,0.11199353199353197
german_credit,xgb,profit_lgd_0.4_roi_0.1,0.5833333333333334,0.017559422921421215,0.3566666666666667,0.11199353199353197
german_credit,xgb,profit_lgd_0.6_roi_0.1,0.5833333333333334,0.017559422921421215,0.3566666666666667,0.11199353199353197
german_credit,xgb,profit_lgd_0.6_roi_0.15,0.5833333333333334,0.017559422921421215,0.3566666666666667,0.11199353199353197
german_credit,xgb,profit_lgd_0.8_roi_0.15,0.5833333333333334,0.017559422921421215,0.3566666666666667,0.11199353199353197
german_credit,xgb,robust_profit,0.5916666666666667,0.08251262529657707,0.15833333333333333,0.053552769070010435
german_credit,xgb,profit_lgd_0.4_roi_0.05,0.6033333333333334,0.06211548384528083,0.27666666666666667,0.11379063156593743
german_credit,xgb,profit_lgd_0.8_roi_0.1,0.6033333333333334,0.06211548384528083,0.27666666666666667,0.11379063156593743
german_credit,xgb,cost_10_to_1,0.6083333333333333,0.05859465277082322,0.21166666666666667,0.0815325670498084
german_credit,xgb,profit_lgd_0.6_roi_0.05,0.6083333333333333,0.05859465277082322,0.21166666666666667,0.0815325670498084
german_credit,xgb,profit_lgd_0.8_roi_0.05,0.61,0.05766281297335405,0.21,0.0815325670498084
german_credit,xgb,robust_cost,0.61,0.05766281297335405,0.21,0.0815325670498084
german_credit,xgb,f1_validation,0.66,0.15157506391224118,0.48,0.14019607843137252
german_credit,xgb,cost_2_to_1,0.7200000000000001,0.13592277219068186,0.61,0.16519647153167602
german_credit,xgb,fixed_0.5,1.1366666666666667,0.08311638426527791,0.8833333333333333,0.24873345864279092
uci_default,lr,cost_5_to_1,0.6364444444444445,0.017125625157553757,0.6930555555555555,0.13248454243859767
uci_default,lr,f1_validation,0.6573888888888889,0.027865915726192486,0.7751111111111112,0.1404401958780278
uci_default,lr,profit_lgd_0.4_roi_0.1,0.6575000000000001,0.02770429168518437,0.7733333333333334,0.14040129253529773
uci_default,lr,profit_lgd_0.6_roi_0.15,0.6575000000000001,0.02770429168518437,0.7733333333333334,0.14040129253529773
uci_default,lr,profit_lgd_0.4_roi_0.15,0.6604444444444445,0.028111550282032913,0.7817222222222222,0.14128087923881608
uci_default,lr,profit_lgd_0.8_roi_0.15,0.6656111111111112,0.0509177804933637,0.4955555555555555,0.12799276082119274
uci_default,lr,profit_lgd_0.6_roi_0.1,0.6709444444444443,0.05778247844126117,0.3982222222222222,0.11629945641363115
uci_default,lr,cost_2_to_1,0.6798333333333333,0.021833333333333357,0.8233333333333333,0.14662851919595868
uci_default,lr,profit_lgd_0.4_roi_0.05,0.7346111111111111,0.017804753838771798,0.0955555555555555,0.08807878611881297
uci_default,lr,profit_lgd_0.8_roi_0.1,0.7346111111111111,0.017804753838771798,0.0955555555555555,0.08807878611881297
uci_default,lr,cost_10_to_1,0.7417222222222222,0.015077884221355236,0.07077777777777773,0.0803085441899266
uci_default,lr,robust_cost,0.7417777777777778,0.015149563005554322,0.0707222222222222,0.0804046104840231
uci_default,lr,profit_lgd_0.6_roi_0.05,0.7470555555555555,0.007753732673388419,0.05877777777777774,0.07672053193907503
uci_default,lr,fixed_0.5,0.7507222222222222,0.015277373732030945,0.8744444444444445,0.16130477774819563
uci_default,lr,profit_lgd_0.8_roi_0.05,0.7675555555555555,0.005603405049445215,0.0206111111111111,0.07953051643192484
uci_default,lr,robust_profit,0.7691666666666667,0.008386497083606082,0.016666666666666666,0.06999999999999995
uci_default,rf,cost_5_to_1,0.5572777777777778,0.006900751435196803,0.5595555555555555,0.10019256027973143
uci_default,rf,profit_lgd_0.4_roi_0.1,0.5573888888888888,0.006976813450704112,0.6241111111111112,0.10751278357462009
uci_default,rf,profit_lgd_0.6_roi_0.15,0.5573888888888888,0.006976813450704112,0.6241111111111112,0.10751278357462009
uci_default,rf,profit_lgd_0.8_roi_0.15,0.5586111111111111,0.008631874608638599,0.5372222222222223,0.09820435658577083
uci_default,rf,profit_lgd_0.6_roi_0.1,0.5663333333333332,0.007356025496904677,0.44116666666666665,0.08605494662810724
uci_default,rf,f1_validation,0.6006666666666667,0.03413738582714133,0.7478333333333333,0.1267571699687654
uci_default,rf,profit_lgd_0.4_roi_0.15,0.6026666666666667,0.030172191022713447,0.7525000000000001,0.12750945989247836
uci_default,rf,profit_lgd_0.4_roi_0.05,0.6037777777777779,0.02098235590345516,0.31105555555555553,0.07230265109983033
uci_default,rf,profit_lgd_0.8_roi_0.1,0.6037777777777779,0.02098235590345516,0.31105555555555553,0.07230265109983033
uci_default,rf,cost_10_to_1,0.6180555555555556,0.017859275004985634,0.2671111111111111,0.06502695669841259
uci_default,rf,robust_cost,0.6180555555555556,0.017859275004985634,0.2671111111111111,0.06502695669841259
uci_default,rf,cost_2_to_1,0.6291666666666668,0.030075368289977394,0.7876666666666666,0.13491637634014378
uci_default,rf,profit_lgd_0.6_roi_0.05,0.6453333333333333,0.019470775822013585,0.19749999999999998,0.053833244655770135
uci_default,rf,robust_profit,0.6793888888888889,0.03246550876328998,0.13677777777777778,0.04507675260168457
uci_default,rf,profit_lgd_0.8_roi_0.05,0.7117222222222223,0.034006671458755015,0.08944444444444444,0.039714666531898535
uci_default,rf,fixed_0.5,0.7489444444444445,0.03544413967127763,0.8778888888888888,0.1609052476010176
uci_default,xgb,cost_5_to_1,0.5537777777777778,0.007330176088026896,0.5593888888888889,0.09885205165262963
uci_default,xgb,profit_lgd_0.8_roi_0.15,0.5565555555555556,0.01027447394345884,0.5166111111111111,0.09470295968273477
uci_default,xgb,profit_lgd_0.4_roi_0.1,0.5608333333333334,0.0018027756377320694,0.6633333333333332,0.11185213045459157
uci_default,xgb,profit_lgd_0.6_roi_0.15,0.5608333333333334,0.0018027756377320694,0.6633333333333332,0.11185213045459157
uci_default,xgb,profit_lgd_0.6_roi_0.1,0.5680555555555555,0.004398021440669977,0.4361111111111111,0.08580232495487666
uci_default,xgb,profit_lgd_0.4_roi_0.05,0.5946111111111111,0.01611963376111853,0.3088888888888888,0.06697869388045777
uci_default,xgb,profit_lgd_0.8_roi_0.1,0.5946111111111111,0.01611963376111853,0.3088888888888888,0.06697869388045777
uci_default,xgb,f1_validation,0.6015555555555556,0.0331580111542249,0.7489444444444445,0.12698904156731214
uci_default,xgb,profit_lgd_0.4_roi_0.15,0.6091666666666667,0.02862011724488754,0.7566666666666667,0.12905378890517527
uci_default,xgb,cost_10_to_1,0.6225555555555555,0.017423908648537854,0.25027777777777777,0.06136917371382567
uci_default,xgb,robust_cost,0.6226111111111111,0.017520094283527816,0.2502222222222222,0.06138352821152774
uci_default,xgb,profit_lgd_0.6_roi_0.05,0.6469999999999999,0.028356852983205144,0.2038333333333333,0.05836087242642917
uci_default,xgb,cost_2_to_1,0.6520555555555556,0.04150713905574062,0.8107777777777777,0.1403783628291527
uci_default,xgb,robust_profit,0.6915,0.02225046815986874,0.12533333333333327,0.049498041808302605
uci_default,xgb,profit_lgd_0.8_roi_0.05,0.7203333333333334,0.030971761331897156,0.08283333333333333,0.049137258986067966
uci_default,xgb,fixed_0.5,0.7332777777777778,0.03025462927541159,0.8728888888888888,0.15789154051813706
